model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
xg_boost_fullgird_m_/r_/xg_boost_fullgird__bayram_new,0.582,0.58,0.65,0.648,0.766,0.782,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6802857142857144
xg_boost_6-3_m_/r_/xg_boost_6-3__max_balanced_0_new,0.6478930307941653,0.6774652901388395,0.6672185430463576,0.6737445230872936,0.7720694645441389,0.8017889087656529,0.7699115044247787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7157273235430324
xg_boost_6-3_m_/r_/xg_boost_6-3__bayram_new,0.592,0.6,0.672,0.634,0.772,0.764,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6814285714285714
xg_boost_6-3_m_/r_/xg_boost_6-3__bayram_3_7_new,0.55,0.576,0.68,0.658,0.762,0.756,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6737142857142857
xg_boost_6-3_m_/r_/xg_boost_6-3__bayram_1_1_new,0.594,0.62,0.642,0.636,0.728,0.752,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6765714285714285
xg_boost_6-3_m_/r_/xg_boost_6-3__3gram_max_balanced_0_new,0.6535656401944895,0.6731933072267711,0.6774834437086092,0.7138523761375126,0.776410998552822,0.807871198568873,0.783677482792527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7265792067402291
xg_boost_6-3_m_/r_/xg_boost_6-3__2gram_max_balanced_0_new,0.6389789303079416,0.6739053043787825,0.6794701986754967,0.7121671722278395,0.774602026049204,0.8153846153846154,0.7841691248770895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7255253388429956
transformer_max_2_d3_10_m_/r_/transformer_max_2_d3_10__max_balanced_0_1_1_new,0.7220421393841167,0.5888216447134211,0.5844370860927153,0.7216043141220088,0.8390014471780028,0.7416815742397138,0.7871189773844641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7121010261592061
transformer_hd_e128_2_d3_90_m_/r_/transformer_hd_e128_2_d3_90__max_balanced_0_1_1_new,0.9931118314424635,0.20576717693129226,0.9897350993377484,0.6582406471183013,0.8646888567293777,0.8032200357781754,0.8313667649950836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7637329160474916
transformer_e64_2_d3_10_m_/r_/transformer_e64_2_d3_10__max_balanced_0_1_1_new,0.7653970826580226,0.7874688501245996,0.6996688741721855,0.756319514661274,0.8386396526772794,0.8275491949910555,0.8539823008849557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7898607814527674
transformer_e64_2_d3_10_l64_m_/r_/transformer_e64_2_d3_10_l64__max_balanced_0_1_1_new,0.5518638573743923,0.7910288358846564,0.723841059602649,0.6353218739467476,0.8111432706222865,0.7835420393559929,0.8180924287118977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7306904807855175
transformer_e64_2_d3_10_l32_m_/r_/transformer_e64_2_d3_10_l32__max_balanced_0_1_1_new,0.6503241491085899,0.7888928444286223,0.7586092715231788,0.6889113582743512,0.8129522431259045,0.7663685152057245,0.8298918387413963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7565643172011096
transformer_e64_2_d3_10_l128_m_/r_/transformer_e64_2_d3_10_l128__max_balanced_0_1_1_new,0.6717990275526742,0.7896048415806337,0.7003311258278145,0.7691270643747894,0.8531114327062229,0.7477638640429338,0.8058013765978368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7625055332404151
transformer_e512_2_d3_10_l128_m_/r_/transformer_e512_2_d3_10_l128__max_balanced_0_1_1_new,1.0,1.0,0.666887417218543,0.8415908324907314,0.0,1.0,0.8141592920353983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7603767916778105
transformer_e50_2_d3_10_l128_m_/r_/transformer_e50_2_d3_10_l128__max_balanced_0_1_1_new,0.8022690437601296,0.7639729441082236,0.7105960264900663,0.7401415571284126,0.8277858176555717,0.7899821109123435,0.8593903638151426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7848768376956985
transformer_e50_2_d3_10_l128_glove_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.6000810372771475,0.6140975436098256,0.6576158940397351,0.6393663633299629,0.7467438494934877,0.8021466905187835,0.8269419862340216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6981419092147092
transformer_e50_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.5332252836304701,0.6820932716269135,0.6043046357615894,0.5743174924165824,0.7279305354558611,0.7245080500894454,0.6415929203539823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6411388841906921
